시군구,상가명,지번주소,건물명,건물유형,등록전유부수,실제영업중수,비고
강북구,산아래,서울특별시 강북구 우이동 217-1, ,일반,,,일반건축물(단일단위)
강북구,연합시설관리주,서울특별시 강북구 번동 446-13,가든타워오피스텔,집합,1,112,불일치(등록<실제)
강북구,아이콤잉글리쉬주,서울특별시 강북구 수유동 359-54, ,일반,,,일반건축물(단일단위)
강북구,레드투어주,서울특별시 강북구 미아동 439-236, ,일반,,,일반건축물(단일단위)
강북구,드림드림사회적협동조합,서울특별시 강북구 미아동 127-7, ,일반,,,일반건축물(단일단위)
강북구,주번,서울특별시 강북구 미아동 637-13, ,일반,,,일반건축물(단일단위)
강북구,미소탑항공,서울특별시 강북구 미아동 228-35, ,일반,,,일반건축물(단일단위)
강북구,아이마코,서울특별시 강북구 수유동 189-1, ,일반,,,일반건축물(단일단위)
도봉구,백장미댄스,서울특별시 도봉구 창동 5-1,KING 프라자,집합,1,25,불일치(등록<실제)
도봉구,놀자학교,서울특별시 도봉구 쌍문동 309-5, ,일반,,,일반건축물(단일단위)
도봉구,도도코스메틱,서울특별시 도봉구 쌍문동 503-47, ,일반,,,일반건축물(단일단위)
도봉구,오드리햅번,서울특별시 도봉구 창동 562-6, ,일반,,,일반건축물(단일단위)
도봉구,대우공인중개사사무소,서울특별시 도봉구 쌍문동 315-352, ,일반,,,일반건축물(단일단위)
도봉구,야호노래마을,서울특별시 도봉구 도봉동 556-19, ,일반,,,일반건축물(단일단위)
도봉구,한국지엠창동지정서비스,서울특별시 도봉구 창동 700-21, ,일반,,,일반건축물(단일단위)
도봉구,엑스포드,서울특별시 도봉구 창동 1-10, ,일반,,,일반건축물(단일단위)
도봉구,뷰티스토리,서울특별시 도봉구 창동 812,창동현대타운,집합,0,15,불일치(등록<실제)
도봉구,가린나무,서울특별시 도봉구 쌍문동 25-74, ,일반,,,일반건축물(단일단위)
도봉구,창업성공쏘스,서울특별시 도봉구 창동 16, ,일반,,,일반건축물(단일단위)
도봉구,썬더치킨도봉,서울특별시 도봉구 방학동 719-3,렉시온프라자,집합,1,16,불일치(등록<실제)
도봉구,하나로유통,서울특별시 도봉구 창동 661-32, ,일반,,,일반건축물(단일단위)
도봉구,쿨가이남성컷트,서울특별시 도봉구 창동 808,동아청솔아파트,집합,1,23,불일치(등록<실제)
도봉구,황실당구장,서울특별시 도봉구 방학동 672, ,일반,,,일반건축물(단일단위)
도봉구,미스터부엌,서울특별시 도봉구 창동 263-8, ,일반,,,일반건축물(단일단위)
도봉구,도봉가브리엘,서울특별시 도봉구 창동 443-6, ,일반,,,일반건축물(단일단위)
도봉구,대한해물찜탕,서울특별시 도봉구 창동 659-31, ,일반,,,일반건축물(단일단위)
도봉구,플로라드베일리,서울특별시 도봉구 창동 601-32, ,일반,,,일반건축물(단일단위)
도봉구,코너스톤티엠에스,서울특별시 도봉구 도봉동 623-77, ,일반,,,일반건축물(단일단위)
도봉구,타이거앤텔레콤,서울특별시 도봉구 창동 10, ,집합,1,23,불일치(등록<실제)
도봉구,빛과사람들주,서울특별시 도봉구 도봉동 286-25, ,일반,,,일반건축물(단일단위)
도봉구,해동투어주,서울특별시 도봉구 도봉동 629-6, ,집합,1,19,불일치(등록<실제)
도봉구,써브웨이,서울특별시 도봉구 창동 655-20,이화홍일빌딩,일반,,,일반건축물(단일단위)
도봉구,올리브네일,서울특별시 도봉구 창동 807,쌍용아파트,집합,1,17,불일치(등록<실제)
도봉구,진,서울특별시 도봉구 방학동 633-23, ,일반,,,일반건축물(단일단위)
도봉구,통큰노가리,서울특별시 도봉구 도봉동 624-54, ,일반,,,일반건축물(단일단위)
도봉구,황금돼지생삼겹살,서울특별시 도봉구 쌍문동 80-49, ,일반,,,일반건축물(단일단위)
도봉구,라라헤어,서울특별시 도봉구 쌍문동 31-42, ,집합,1,1,
도봉구,제일지물장식,서울특별시 도봉구 창동 810,신창아파트,집합,1,9,불일치(등록<실제)
도봉구,경순이네야채과일,서울특별시 도봉구 창동 569-11, ,일반,,,일반건축물(단일단위)
도봉구,이장군왕족발,서울특별시 도봉구 창동 749-16,한독패밀리타운,일반,,,일반건축물(단일단위)
도봉구,알레마나,서울특별시 도봉구 창동 5, ,집합,1,26,불일치(등록<실제)
도봉구,솥뚜껑삼겹살,서울특별시 도봉구 방학동 703-59, ,일반,,,일반건축물(단일단위)
도봉구,김선주미장원,서울특별시 도봉구 쌍문동 291-9,청담하이빌,집합,1,1,
도봉구,알콜프리쇼핑,서울특별시 도봉구 방학동 690-18, ,일반,,,일반건축물(단일단위)
도봉구,봉평메밀막국수,서울특별시 도봉구 도봉동 282-309,도봉 도시형생활주택,일반,,,일반건축물(단일단위)
노원구,태릉정원내과의원,서울특별시 노원구 공릉동 597-17,대정빌딩,일반,,,일반건축물(단일단위)
노원구,하늘이네,서울특별시 노원구 상계동 746-5,상계주공아파트,집합,1,15,불일치(등록<실제)
노원구,공릉성모마취통증의학과의원,서울특별시 노원구 공릉동 408-6,공릉동 대상빌딩,일반,,,일반건축물(단일단위)
노원구,착한생오리,서울특별시 노원구 상계동 169-14, ,일반,,,일반건축물(단일단위)
노원구,무궁화약국,서울특별시 노원구 하계동 283, ,일반,,,일반건축물(단일단위)
노원구,해촌칼국수,서울특별시 노원구 공릉동 388-4, ,일반,,,일반건축물(단일단위)
노원구,상아온누리약국,서울특별시 노원구 상계동 731-3, ,집합,1,16,불일치(등록<실제)
노원구,부동산뱅크,서울특별시 노원구 하계동 251,하계1차청구아파트,집합,1,14,불일치(등록<실제)
노원구,피오레,서울특별시 노원구 중계동 509-1,씨앤미,집합,0,111,불일치(등록<실제)
노원구,땡초집,서울특별시 노원구 공릉동 379-4, ,집합,1,6,불일치(등록<실제)
노원구,포토클럽,서울특별시 노원구 상계동 393-32, ,일반,,,일반건축물(단일단위)
노원구,중계탁구클럽교실,서울특별시 노원구 중계동 450, ,일반,,,일반건축물(단일단위)
노원구,ey,서울특별시 노원구 상계동 450,교림노원프라자,집합,1,48,불일치(등록<실제)
노원구,둘둘치킨,서울특별시 노원구 월계동 58-2, ,일반,,,일반건축물(단일단위)
노원구,천수한방삼계탕,서울특별시 노원구 상계동 1132-66, ,일반,,,일반건축물(단일단위)
노원구,가장맛있는족발,서울특별시 노원구 공릉동 392-2,송암빌딩,일반,,,일반건축물(단일단위)
노원구,건축사사무소이지,서울특별시 노원구 하계동 167-7, ,일반,,,일반건축물(단일단위)
노원구,동식이네해물짬뽕,서울특별시 노원구 상계동 1019-83, ,일반,,,일반건축물(단일단위)
노원구,삼성공인중개사사무소,서울특별시 노원구 상계동 581-6, ,집합,1,36,불일치(등록<실제)
노원구,상상이상,서울특별시 노원구 월계동 635-4,그랑디오피스텔,집합,1,18,불일치(등록<실제)
노원구,하늘체한의원,서울특별시 노원구 상계동 711-12,디와이홀딩스(주)빌딩,집합,1,12,불일치(등록<실제)
노원구,가자발리,서울특별시 노원구 상계동 1285,동아불암아파트,집합,1,30,불일치(등록<실제)
노원구,봉구스밥버거,서울특별시 노원구 중계동 360-12,새롬스타빌,집합,1,9,불일치(등록<실제)
노원구,원조멸치국수,서울특별시 노원구 상계동 624,상계주공아파트,집합,1,28,불일치(등록<실제)
노원구,엔에이치씨서울중앙센터,서울특별시 노원구 상계동 1389-8, ,일반,,,일반건축물(단일단위)
노원구,파리바게뜨상계백,서울특별시 노원구 상계동 749-5,상계주공아파트,집합,1,15,불일치(등록<실제)
노원구,폰폰폰,서울특별시 노원구 중계동 137-39,정진아트리움,집합,1,7,불일치(등록<실제)
노원구,피트니스씨씨,서울특별시 노원구 공릉동 238-48, ,일반,,,일반건축물(단일단위)
노원구,창조인테리어철거,서울특별시 노원구 상계동 176-59, ,일반,,,일반건축물(단일단위)
노원구,커브스중계은행클럽,서울특별시 노원구 중계동 360-2,청구아파트,집합,1,28,불일치(등록<실제)
노원구,로뎀나무어닝,서울특별시 노원구 공릉동 412-7, ,일반,,,일반건축물(단일단위)
노원구,제과,서울특별시 노원구 공릉동 577-12, ,일반,,,일반건축물(단일단위)
노원구,대명기업,서울특별시 노원구 상계동 169-169, ,일반,,,일반건축물(단일단위)
노원구,모바면가,서울특별시 노원구 상계동 593-2, ,일반,,,일반건축물(단일단위)
은평구,플라톤아카데미불광독서논술교습소,서울특별시 은평구 불광동 601-3, ,일반,,,일반건축물(단일단위)
은평구,성모튼튼신경외과의원,서울특별시 은평구 진관동 69,SW/메디컬,일반,,,일반건축물(단일단위)
은평구,은하수공인중개사사무소,서울특별시 은평구 진관동 107,은평뉴타운 마고정,집합,1,15,불일치(등록<실제)
은평구,거북사,서울특별시 은평구 신사동 8-18, ,일반,,,일반건축물(단일단위)
은평구,하나로인테리어,서울특별시 은평구 신사동 10-1, ,집합,1,1,
은평구,산사랑민속주점,서울특별시 은평구 진관동 277-17,북한산성상가,집합,1,24,불일치(등록<실제)
은평구,맥스휘트니스,서울특별시 은평구 신사동 7-4, ,일반,,,일반건축물(단일단위)
은평구,보물찾기,서울특별시 은평구 녹번동 43-42, ,일반,,,일반건축물(단일단위)
은평구,YS피아노,서울특별시 은평구 구산동 11-51,동양 퍼스트빌,집합,1,1,
은평구,Mr.깡,서울특별시 은평구 신사동 2-19, ,일반,,,일반건축물(단일단위)
은평구,제이분식,서울특별시 은평구 역촌동 17-324, ,일반,,,일반건축물(단일단위)
은평구,연건축사사무소,서울특별시 은평구 녹번동 144-59, ,일반,,,일반건축물(단일단위)
은평구,종로공예,서울특별시 은평구 응암동 250-66, ,일반,,,일반건축물(단일단위)
은평구,김정훈세무사사무소,서울특별시 은평구 응암동 84-1,서운빌딩,일반,,,일반건축물(단일단위)
은평구,바다생각,서울특별시 은평구 갈현동 430-17, ,일반,,,일반건축물(단일단위)
은평구,금강공인중개사사무소,서울특별시 은평구 불광동 367-18, ,일반,,,일반건축물(단일단위)
은평구,한국물산,서울특별시 은평구 응암동 752-20,해성빌딩,일반,,,일반건축물(단일단위)
은평구,드림공인중개사사무소,서울특별시 은평구 불광동 268-6, ,집합,1,2,불일치(등록<실제)
